===== D LLM START 2026-09-20T02:50:20+00:00 =====
2026-09-20 02:54:41,824 | INFO    | __main__ | experiment D/E LLM beida_20260819040000_20260902040000: incidents=568 merged=568
2026-09-20 02:54:41,941 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0005 LLM failed: LLM HTTP 500: 
2026-09-20 02:54:41,943 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0004 LLM failed: LLM HTTP 500: 
2026-09-20 02:54:41,948 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0002 LLM failed: LLM HTTP 500: 
2026-09-20 02:54:41,949 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0006 LLM failed: LLM HTTP 500: 
2026-09-20 02:54:41,949 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0007 LLM failed: LLM HTTP 500: 
2026-09-20 02:54:41,949 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0001 LLM failed: LLM HTTP 500: 
2026-09-20 02:54:41,949 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0003 LLM failed: LLM HTTP 500: 
2026-09-20 02:54:41,949 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0008 LLM failed: LLM HTTP 500: 
2026-09-20 02:54:41,964 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0009 LLM failed: LLM HTTP 500: 
2026-09-20 02:54:41,972 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0010 LLM failed: LLM HTTP 500: 
2026-09-20 02:54:41,978 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0012 LLM failed: LLM HTTP 500: 
2026-09-20 02:54:41,992 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0015 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:41,993 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0013 LLM failed: LLM HTTP 500: 
2026-09-20 02:54:42,000 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0014 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,000 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0011 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,006 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0017 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,010 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0020 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,010 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0016 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,010 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0019 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,015 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0021 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,027 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0018 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,033 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0022 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,036 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0024 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,042 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0025 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,049 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0027 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,054 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0030 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,059 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0026 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,064 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0029 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,071 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0034 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,075 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0032 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,077 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0028 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,082 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0036 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,082 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0023 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,087 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0031 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,087 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0035 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,087 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0033 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,089 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0038 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,089 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0039 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,101 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0037 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,114 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0043 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,114 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0040 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,119 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0042 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,124 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0046 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,134 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0048 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,137 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0044 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,142 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0045 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,143 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0049 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,143 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0050 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,149 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0051 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,150 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0047 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,162 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0053 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,162 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0056 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,164 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0052 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,168 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0054 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,180 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0057 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,186 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0058 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,189 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0055 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,192 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0041 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,198 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0060 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,201 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0061 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,205 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0059 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,210 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0065 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,213 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0062 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,213 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0067 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,217 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0063 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,218 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0068 LLM failed: <urlopen error [Errno 111] Connection refused>
2026-09-20 02:54:42,218 | WARNING | aiops.incident_predictions | incident INC_beida_20260819040000_20260902040000_0069 LLM failed: <urlopen error [Errno 111] Connection refused>
